url,title_name,total_fees,presales_fees,premiere_day_fees,first_weekend_fees,second_weekend_fees,country,start_date,year,age_restriction,error,parse_time,attempt_count,batch_number,parsing_date,parsing_datetime
https://ekinobilet.fond-kino.ru/films/detail/124007925/,"""Призрак в доспехах"" (субтитровая версия)",3 919 787,2 683 885,403 169,1 383 114,228 840,Япония,28 авг. 2025,1995,«18+» запрещено для детей,,3.0705292224884033,1,1,2025-09-04,2025-09-04 11:59:45
https://ekinobilet.fond-kino.ru/films/detail/111011424/,Идентификация,7 735 074,72 000,1 124 630,5 550 827,54 890,Россия,28 авг. 2025,2023,«12+» для детей старше 12 лет,,7.481849193572998,1,1,2025-09-04,2025-09-04 11:59:45
https://ekinobilet.fond-kino.ru/films/detail/114006625/,Доктор Динозавров,74 231 995,2 228 960,8 869 947,48 198 749,1 296 217,Россия,28 авг. 2025,2025,«6+» для детей старше 6 лет,,7.716568946838379,1,1,2025-09-04,2025-09-04 11:59:45
https://ekinobilet.fond-kino.ru/films/detail/124008025/,"""Призрак в доспехах"" (дубляж Студийная Банда)",8 345 027,2 752 527,925 192,4 291 248,335 236,Япония,28 авг. 2025,1995,«18+» запрещено для детей,,5.306587219238281,1,1,2025-09-04,2025-09-04 11:59:45
https://ekinobilet.fond-kino.ru/films/detail/121023325/,Гризли,2 697 667,15 938,386 190,1 831 873,11 050,США,28 авг. 2025,2025,«18+» запрещено для детей,,5.238203763961792,1,1,2025-09-04,2025-09-04 11:59:45
https://ekinobilet.fond-kino.ru/films/detail/124008525/,"""Призрак в доспехах"" (дубляж Реанимедия)",712 864,269 180,77 770,378 494,23 190,Япония,28 авг. 2025,1995,«18+» запрещено для детей,,2.9961464405059814,1,1,2025-09-04,2025-09-04 11:59:45
https://ekinobilet.fond-kino.ru/films/detail/121026625/,Три принцессы,245 761,7 596,31 316,166 380,4 030,Чешская республика,28 авг. 2025,2024,«6+» для детей старше 6 лет,,5.247483015060425,1,1,2025-09-04,2025-09-04 11:59:45
https://ekinobilet.fond-kino.ru/films/detail/121023125/,"Операция ""Наполеон""",494 850,1 682,60 044,328 871,3 590,"Исландия, Германия",28 авг. 2025,2023,«18+» запрещено для детей,,2.987165927886963,1,1,2025-09-04,2025-09-04 11:59:45
https://ekinobilet.fond-kino.ru/films/detail/121017925/,Родственные души,711 960,160 026,116 542,399 311,30 760,Италия,28 авг. 2025,2024,«16+» для детей старше 16 лет,,5.160104513168335,1,1,2025-09-04,2025-09-04 11:59:45
https://ekinobilet.fond-kino.ru/films/detail/121026425/,Ведьмина доска,9 803 934,95 484,1 478 138,6 737 783,81 864,США,28 авг. 2025,2025,«18+» запрещено для детей,,2.977067470550537,1,1,2025-09-04,2025-09-04 11:59:45
https://ekinobilet.fond-kino.ru/films/detail/111030225/,Тимур и его команда,7 871 897,288 210,674 240,3 147 184,435 810,Россия,28 авг. 2025,2025,«12+» для детей старше 12 лет,,4.533709764480591,1,1,2025-09-04,2025-09-04 11:59:45
https://ekinobilet.fond-kino.ru/films/detail/121024525/,ГОЛОДНЫЕ ИГРЫ: БАЛЛАДА О ЗМЕЯХ И ПЕВЧИХ ПТИЦАХ,13 326 508,483 930,1 758 964,9 089 283,276 104,"США, Канада",28 авг. 2025,2023,«18+» запрещено для детей,,6.88796067237854,1,1,2025-09-04,2025-09-04 11:59:45
https://ekinobilet.fond-kino.ru/films/detail/111033925/,Семейный призрак,46 165 798,810 152,5 292 079,28 842 330,715 064,Россия,28 авг. 2025,2025,«6+» для детей старше 6 лет,,4.99977970123291,1,1,2025-09-04,2025-09-04 11:59:45
https://ekinobilet.fond-kino.ru/films/detail/121025225/,Выход 8,64 290 363,5 177 839,8 291 824,42 889 977,1 766 347,Япония,28 авг. 2025,2025,«16+» для детей старше 16 лет,,2.982475757598877,1,1,2025-09-04,2025-09-04 11:59:45
https://ekinobilet.fond-kino.ru/films/detail/121023625/,Случай с фортепиано,1 626 318,273 444,96 710,502 245,403 831,Франция,21 авг. 2025,2025,«18+» запрещено для детей,,4.42305850982666,1,1,2025-09-04,2025-09-04 11:59:45
https://ekinobilet.fond-kino.ru/films/detail/111030325/,Геля,22 424 528,258 633,2 235 647,12 182 600,3 511 214,Россия,21 авг. 2025,2025,«18+» запрещено для детей,,6.530266761779785,1,1,2025-09-04,2025-09-04 11:59:45
